Date,Open,High,Low,Close,Adj Close,Volume
2018-12-24,37.037498,37.887501,36.647499,36.707500,35.589474,148676800
2018-12-26,37.075001,39.307499,36.680000,39.292500,38.095734,234330000
2018-12-27,38.959999,39.192501,37.517502,39.037498,37.848488,212468400
2018-12-28,39.375000,39.630001,38.637501,39.057499,37.867897,169165600
2018-12-31,39.632500,39.840000,39.119999,39.435001,38.233894,140014000
2019-01-02,38.722500,39.712502,38.557499,39.480000,38.277519,148158800
2019-01-03,35.994999,36.430000,35.500000,35.547501,34.464798,365248800
2019-01-04,36.132500,37.137501,35.950001,37.064999,35.936085,234428400
2019-01-07,37.174999,37.207500,36.474998,36.982498,35.856091,219111200
2019-01-08,37.389999,37.955002,37.130001,37.687500,36.539616,164101200
2019-01-09,37.822498,38.632500,37.407501,38.327499,37.160126,180396400
2019-01-10,38.125000,38.492500,37.715000,38.450001,37.278896,143122800
2019-01-11,38.220001,38.424999,37.877499,38.072498,36.912891,108092800
2019-01-14,37.712502,37.817501,37.305000,37.500000,36.357834,129756800
2019-01-15,37.567501,38.347500,37.512501,38.267502,37.101955,114843600
2019-01-16,38.270000,38.970001,38.250000,38.735001,37.555218,122278800
2019-01-17,38.549999,39.415001,38.314999,38.965000,37.778210,119284800
2019-01-18,39.375000,39.470001,38.994999,39.205002,38.010895,135004000
2019-01-22,39.102501,39.182499,38.154999,38.325001,37.157703,121576000
2019-01-23,38.537498,38.785000,37.924999,38.480000,37.307983,92522400
2019-01-24,38.527500,38.619999,37.935001,38.174999,37.012268,101766000
2019-01-25,38.869999,39.532501,38.580002,39.439999,38.238747,134142000
2019-01-28,38.947498,39.082500,38.415001,39.075001,37.884861,104768400
2019-01-29,39.062500,39.532501,38.527500,38.669998,37.492191,166348800
2019-01-30,40.812500,41.537498,40.057499,41.312500,40.054218,244439200
2019-01-31,41.527500,42.250000,41.139999,41.610001,40.342648,162958400
2019-02-01,41.740002,42.244999,41.482498,41.630001,40.362038,130672400
2019-02-04,41.852501,42.915001,41.820000,42.812500,41.508522,125982000
2019-02-05,43.215000,43.770000,43.087502,43.544998,42.218708,144406400
2019-02-06,43.662498,43.892502,43.212502,43.560001,42.233257,112958400
2019-02-07,43.099998,43.485001,42.584999,42.735001,41.433380,126966800
2019-02-08,42.247501,42.665001,42.105000,42.602501,41.482071,95280000
2019-02-11,42.762501,42.802502,42.312500,42.357498,41.243511,83973600
2019-02-12,42.525002,42.750000,42.424999,42.722500,41.598915,89134000
2019-02-13,42.847500,43.119999,42.480000,42.544998,41.426075,89960800
2019-02-14,42.427502,42.814999,42.345001,42.700001,41.577011,87342800
2019-02-15,42.812500,42.924999,42.437500,42.605000,41.484501,98507200
2019-02-19,42.427502,42.860001,42.372501,42.732498,41.608650,75891200
2019-02-20,42.797501,43.330002,42.747501,43.007500,41.876411,104457600
2019-02-21,42.950001,43.092499,42.575001,42.764999,41.640293,68998800
2019-02-22,42.895000,43.250000,42.845001,43.242500,42.105232,75652800
2019-02-25,43.540001,43.967499,43.487499,43.557499,42.411949,87493600
2019-02-26,43.427502,43.825001,43.292500,43.582500,42.436298,68280800
2019-02-27,43.302502,43.750000,43.182499,43.717499,42.567741,111341600
2019-02-28,43.580002,43.727501,43.230000,43.287498,42.149048,112861600
2019-03-01,43.570000,43.787498,43.222500,43.742500,42.592087,103544800
2019-03-04,43.922501,44.437500,43.492500,43.962502,42.806305,109744800
2019-03-05,43.985001,44.000000,43.634998,43.882500,42.728401,78949600
2019-03-06,43.667500,43.872501,43.485001,43.630001,42.482544,83241600
2019-03-07,43.467499,43.610001,43.005001,43.125000,41.990822,99185600
2019-03-08,42.580002,43.267502,42.375000,43.227501,42.090630,95997600
2019-03-11,43.872501,44.779999,43.837502,44.724998,43.548744,128044000
2019-03-12,45.000000,45.667500,44.842499,45.227501,44.038029,129870400
2019-03-13,45.562500,45.825001,45.230000,45.427502,44.232777,124130000
2019-03-14,45.974998,46.025002,45.639999,45.932499,44.724495,94318000
2019-03-15,46.212502,46.832500,45.935001,46.529999,45.306271,156171600
